        region1_s1 |       fc | 97.1504955*cm 0*cm 216.9377989*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |    1   1   0   0
     sl5_layer3_s6 | region3_s6 | -5.8197445*cm -14.190135*cm -12.921521*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad 183.0272291*cm 13.417461*cm 203.7434166*cm -0.1323475*rad  |    6   3   5   3
     sl5_layer4_s6 | region3_s6 | -5.8108633*cm -15.8197002*cm -10.116101*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad 183.0272291*cm 13.2517629*cm 203.5777185*cm -0.1323475*rad  |    6   3   5   4
     sl5_layer5_s6 | region3_s6 | -5.8922581*cm -14.1825135*cm -7.310681*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad 183.0272291*cm 14.7703654*cm 205.096321*cm -0.1323475*rad  |    6   3   5   5
     sl5_layer6_s6 | region3_s6 | -5.8833769*cm -15.8120787*cm -4.505261*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 1.39271*cm -0.4363323*rad 1.5707963*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad 183.0272291*cm 14.6046673*cm 204.9306229*cm -0.1323475*rad  |    6   3   5   6
     sl6_layer1_s6 | region3_s6 | 6.0352312*cm -14.1591115*cm 3.734105*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad 191.41234*cm 13.0781061*cm 212.1235524*cm 0.1323475*rad  |    6   3   6   1
     sl6_layer2_s6 | region3_s6 | 6.0259432*cm -15.8633327*cm 6.668051*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad 191.41234*cm 12.9048168*cm 211.9502632*cm 0.1323475*rad  |    6   3   6   2
     sl6_layer3_s6 | region3_s6 | 6.1110669*cm -14.1511408*cm 9.601997*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad 191.41234*cm 14.4929917*cm 213.538438*cm 0.1323475*rad  |    6   3   6   3
     sl6_layer4_s6 | region3_s6 | 6.1017789*cm -15.8553621*cm 12.535943*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad 191.41234*cm 14.3197024*cm 213.3651488*cm 0.1323475*rad  |    6   3   6   4
     sl6_layer5_s6 | region3_s6 | 6.1869026*cm -14.1431702*cm 15.469889*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad 191.41234*cm 15.9078773*cm 214.9533236*cm 0.1323475*rad  |    6   3   6   5
     sl6_layer6_s6 | region3_s6 | 6.1776146*cm -15.8473914*cm 18.403835*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 1.456973*cm -0.4363323*rad 1.5707963*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad 191.41234*cm 15.734588*cm 214.7800344*cm 0.1323475*rad  |    6   3   6   6
